"","bw","fm","coef","lb","ub","qtile"
"1",1,0,-0.997284197657834,-0.772492721950446,-1.22207567336522,0.2
"2",1,0,-1.2030318553792,-0.972567053088609,-1.43349665766979,0.25
"3",1,0,-1.36995845196487,-1.07674246710103,-1.66317443682871,0.3
"4",1,0,-1.5599837078675,-1.25164641860008,-1.86832099713491,0.35
"5",1,0,-1.79508882515928,-1.46251490223392,-2.12766274808463,0.4
"6",1,0,-2.04888247464178,-1.7433871299627,-2.35437781932087,0.45
"7",1,0,-2.30609987360061,-1.88536253515917,-2.72683721204206,0.5
"8",1,0,-2.43421625712699,-1.90978623986571,-2.95864627438827,0.55
"9",1,0,-2.65567985101815,-2.04057151284454,-3.27078818919176,0.6
"10",1,0,-2.9471854361154,-2.29617412973419,-3.5981967424966,0.65
"11",1,0,-3.17525786395899,-2.42485270035029,-3.92566302756769,0.7
"12",1,0,-3.44989064526396,-2.65023159248052,-4.24954969804741,0.75
"13",1,0,-3.59949104348095,-2.73874703182088,-4.46023505514103,0.8
"14",1,0,-4.37423255643176,-3.34414013825902,-5.4043249746045,0.85
"15",1,0,-4.78017612119382,-3.26938824824474,-6.2909639941429,0.9
"16",0,1,-1.30483839156032,-1.08004691585293,-1.5296298672677,0.2
"17",0,1,-1.45612678235926,-1.22566198006868,-1.68659158464985,0.25
"18",0,1,-1.63464667031076,-1.34143068544692,-1.9278626551746,0.3
"19",0,1,-1.74984688305291,-1.4415095937855,-2.05818417232033,0.35
"20",0,1,-1.94912826522995,-1.61655434230459,-2.28170218815531,0.4
"21",0,1,-2.03907922186447,-1.73358387718539,-2.34457456654355,0.45
"22",0,1,-2.30940392726137,-1.88866658881993,-2.73014126570282,0.5
"23",0,1,-2.5345681205567,-2.01013810329541,-3.05899813781798,0.55
"24",0,1,-2.72870401069353,-2.11359567251992,-3.34381234886714,0.6
"25",0,1,-3.1241716357807,-2.47316032939949,-3.7751829421619,0.65
"26",0,1,-3.33135428586604,-2.58094912225734,-4.08175944947474,0.7
"27",0,1,-3.63485085592019,-2.83519180313675,-4.43450990870364,0.75
"28",0,1,-4.20133296886369,-3.34058895720361,-5.06207698052376,0.8
"29",0,1,-4.6892084665615,-3.65911604838876,-5.71930088473423,0.85
"30",0,1,-4.77167363322634,-3.26088576027726,-6.28246150617542,0.9
